sample_id,species,batch,treatment,ultrasound
212,A. domesticus,1,C,1
213,A. domesticus,1,C,1
214,A. domesticus,1,C,1
215,A. domesticus,1,C,1
216,A. domesticus,1,C,1
217,A. domesticus,1,C,1
218,A. domesticus,1,C,1
219,A. domesticus,1,C,1
220,A. domesticus,1,C,1
221,A. domesticus,1,C,1
222,A. domesticus,1,C,1
223,A. domesticus,1,C,1
224,A. domesticus,1,C,1
225,A. domesticus,1,C,1
226,A. domesticus,1,C,1
227,A. domesticus,1,C,1
228,A. domesticus,1,C,1
229,A. domesticus,1,C,1
230,A. domesticus,1,C,1
231,A. domesticus,1,C,1
232,A. domesticus,1,C,1
233,A. domesticus,1,C,1
234,A. domesticus,1,C,1
235,A. domesticus,1,C,1
236,A. domesticus,1,C,1
237,A. domesticus,1,C,1
238,A. domesticus,1,C,1
239,A. domesticus,1,C,1
240,A. domesticus,1,C,1
241,A. domesticus,1,C,1
242,A. domesticus,1,C,1
243,A. domesticus,1,C,1
244,A. domesticus,1,C,1
245,A. domesticus,1,C,1
246,A. domesticus,1,C,1
247,A. domesticus,1,C,1
248,A. domesticus,1,C,1
249,A. domesticus,1,C,1
250,A. domesticus,1,C,0
251,A. domesticus,1,C,0
252,A. domesticus,1,C,0
253,A. domesticus,1,C,0
254,A. domesticus,1,C,0
255,A. domesticus,1,C,0
256,A. domesticus,1,C,0
257,A. domesticus,1,C,0
258,A. domesticus,1,C,0
259,A. domesticus,1,C,0
260,A. domesticus,1,C,0
261,A. domesticus,1,C,0
262,A. domesticus,1,C,0
263,A. domesticus,1,C,0
264,A. domesticus,1,C,0
265,A. domesticus,1,C,0
266,A. domesticus,1,C,0
267,A. domesticus,1,C,0
268,A. domesticus,1,C,0
269,A. domesticus,1,C,0
270,A. domesticus,1,C,0
271,A. domesticus,1,C,0
272,A. domesticus,1,C,0
273,A. domesticus,1,C,0
274,A. domesticus,1,C,0
275,A. domesticus,1,C,0
276,A. domesticus,1,C,0
277,A. domesticus,1,C,0
278,A. domesticus,1,C,0
279,A. domesticus,1,C,0
280,A. domesticus,1,C,0
281,A. domesticus,1,C,0
282,A. domesticus,1,C,0
283,A. domesticus,1,C,0
284,A. domesticus,1,C,0
285,A. domesticus,1,C,0
286,A. domesticus,1,C,0
287,A. domesticus,1,C,0
288,A. domesticus,1,C,0
289,A. domesticus,1,C,0
290,A. domesticus,1,C,0
291,A. domesticus,1,C,0
292,A. domesticus,1,C,0
293,A. domesticus,1,C,0
294,A. domesticus,1,C,0
295,A. domesticus,1,C,0
296,A. domesticus,1,C,0
297,A. domesticus,1,C,0
298,A. domesticus,1,C,0
299,A. domesticus,1,C,0
300,T. molitor,1,A,1
301,T. molitor,1,A,1
302,T. molitor,1,A,1
303,T. molitor,1,A,1
304,T. molitor,1,A,1
305,T. molitor,1,A,1
306,T. molitor,1,A,1
307,T. molitor,1,A,1
308,T. molitor,1,A,1
309,T. molitor,1,A,1
310,T. molitor,1,A,1
311,T. molitor,1,A,1
312,T. molitor,1,A,1
313,T. molitor,1,A,1
314,T. molitor,1,A,1
315,T. molitor,1,A,1
316,T. molitor,1,A,1
317,T. molitor,1,A,1
318,T. molitor,1,A,1
319,T. molitor,1,A,1
320,T. molitor,1,A,1
321,T. molitor,1,A,1
322,T. molitor,1,A,1
323,T. molitor,1,A,1
324,T. molitor,1,A,1
325,T. molitor,1,A,1
326,T. molitor,1,A,1
327,T. molitor,1,A,1
328,T. molitor,1,A,1
329,T. molitor,1,A,1
330,T. molitor,1,A,1
331,T. molitor,1,A,1
332,T. molitor,1,A,1
333,T. molitor,1,A,1
334,T. molitor,1,A,1
335,T. molitor,1,A,1
336,T. molitor,1,A,1
337,T. molitor,1,A,1
338,T. molitor,1,A,1
339,T. molitor,1,A,1
340,T. molitor,1,A,1
341,T. molitor,1,A,1
342,T. molitor,1,A,1
343,T. molitor,1,A,1
344,T. molitor,1,A,1
345,T. molitor,1,A,1
346,T. molitor,1,A,1
347,T. molitor,1,A,1
348,T. molitor,1,A,1
349,T. molitor,1,A,1
350,T. molitor,1,A,0
351,T. molitor,1,A,0
352,T. molitor,1,A,0
353,T. molitor,1,A,0
354,T. molitor,1,A,0
355,T. molitor,1,A,0
356,T. molitor,1,A,0
357,T. molitor,1,A,0
358,T. molitor,1,A,0
359,T. molitor,1,A,0
360,T. molitor,1,A,0
361,T. molitor,1,A,0
362,T. molitor,1,A,0
363,T. molitor,1,A,0
364,T. molitor,1,A,0
365,T. molitor,1,A,0
366,T. molitor,1,A,0
367,T. molitor,1,A,0
368,T. molitor,1,A,0
369,T. molitor,1,A,0
370,T. molitor,1,A,0
371,T. molitor,1,A,0
372,T. molitor,1,A,0
373,T. molitor,1,A,0
374,T. molitor,1,A,0
375,T. molitor,1,A,0
376,T. molitor,1,A,0
377,T. molitor,1,A,0
378,T. molitor,1,A,0
379,T. molitor,1,A,0
380,T. molitor,1,A,0
381,T. molitor,1,A,0
382,T. molitor,1,A,0
383,T. molitor,1,A,0
384,T. molitor,1,A,0
385,T. molitor,1,A,0
386,T. molitor,1,A,0
387,T. molitor,1,A,0
388,T. molitor,1,A,0
389,T. molitor,1,A,0
390,T. molitor,1,A,0
391,T. molitor,1,A,0
392,T. molitor,1,A,0
393,T. molitor,1,A,0
394,T. molitor,1,A,0
395,T. molitor,1,A,0
396,T. molitor,1,A,0
397,T. molitor,1,A,0
398,T. molitor,1,A,0
399,T. molitor,1,A,0
400,T. molitor,1,B,1
401,T. molitor,1,B,1
402,T. molitor,1,B,1
403,T. molitor,1,B,1
404,T. molitor,1,B,1
405,T. molitor,1,B,1
406,T. molitor,1,B,1
407,T. molitor,1,B,1
408,T. molitor,1,B,1
409,T. molitor,1,B,1
410,T. molitor,1,B,1
411,T. molitor,1,B,1
412,T. molitor,1,B,1
413,T. molitor,1,B,1
414,T. molitor,1,B,1
415,T. molitor,1,B,1
416,T. molitor,1,B,1
417,T. molitor,1,B,1
418,T. molitor,1,B,1
419,T. molitor,1,B,1
420,T. molitor,1,B,1
421,T. molitor,1,B,1
422,T. molitor,1,B,1
423,T. molitor,1,B,1
424,T. molitor,1,B,1
425,T. molitor,1,B,1
426,T. molitor,1,B,1
427,T. molitor,1,B,1
428,T. molitor,1,B,1
429,T. molitor,1,B,1
430,T. molitor,1,B,1
431,T. molitor,1,B,1
432,T. molitor,1,B,1
433,T. molitor,1,B,1
434,T. molitor,1,B,1
435,T. molitor,1,B,1
436,T. molitor,1,B,1
437,T. molitor,1,B,1
438,T. molitor,1,B,1
439,T. molitor,1,B,1
440,T. molitor,1,B,1
441,T. molitor,1,B,1
442,T. molitor,1,B,1
443,T. molitor,1,B,1
444,T. molitor,1,B,1
445,T. molitor,1,B,1
446,T. molitor,1,B,1
447,T. molitor,1,B,1
448,T. molitor,1,B,1
449,T. molitor,1,B,1
450,T. molitor,1,B,0
451,T. molitor,1,B,0
452,T. molitor,1,B,0
453,T. molitor,1,B,0
454,T. molitor,1,B,0
455,T. molitor,1,B,0
456,T. molitor,1,B,0
457,T. molitor,1,B,0
458,T. molitor,1,B,0
459,T. molitor,1,B,0
